Day,Time,Hour,Location,Address,Region,Types
Sunday,2:00,2,220 W Houston St,220 W Houston St,Greenwich Village,"Candlelight, Discussion, Open"
Sunday,6:00,6,Holy Name Church,207 W 96th St,Upper West Side,"Discussion, Literature, Open"
Sunday,6:30,6,St John's Lutheran Church,75 E Olive St,Nassau County,"Closed, Literature"
Sunday,6:45,6,St John the Evangelist Roman Catholic Church,25 Ocean Ave,Suffolk County,Big Book
Sunday,7:00,7,HOW Club,552 Port Richmond Ave,St. George / New Brighton Thompkinsville,"Discussion, Open"
Sunday,7:00,7,Jewish Center,574 E Meadow Ave,Nassau County,"Closed, Discussion, Wheelchair Access"
Sunday,7:00,7,New Hempstead Presbyterian Church,484 New Hempstead Rd,Rockland County,"Big Book, Closed"
Sunday,7:00,7,St Andrew's Episcopal Church,26 Prospect St,Putnam and Dutchess Counties,"Discussion, Open, Wheelchair Access"
Sunday,7:00,7,St Patrick's Church,188 Church Pl,Yorktown Heights,"Closed, Wheelchair Access"
Sunday,7:15,7,Holy Name Church,207 W 96th St,Upper West Side,Closed
Sunday,7:30,7,Hazelden Tribeca,283 W Broadway,TriBeCa,"Discussion, Open, Wheelchair Access"
Sunday,7:30,7,Mustard Seed,122 E 37th St,Kip's Bay/Murray Hill,"Closed, Meditation"
Sunday,7:30,7,National Museum,190 Fordham St,City Island,"Open, Wheelchair Access"
Sunday,7:30,7,Penataquit Methodist Church,107 E Main St,Suffolk County,Beginner
Sunday,7:30,7,Perry Street Workshop,50 Perry St,Greenwich Village,"Discussion, Open"
Sunday,7:30,7,St Paul's Rectory,199 Carroll St,Brooklyn Heights,Closed
Sunday,7:30,7,Twelfth Street Workshop,411 E 12th St,East Village,Step Meeting
Sunday,7:30,7,Zion Evangelical Lutheran Church,125 Henry St,Brooklyn Heights,Beginner
Sunday,7:45,7,St Margaret's Residence,49 Fulton St,Bowling Green/City Hall,"Discussion, Open, Wheelchair Access"
Sunday,8:00,8,Asbury Methodist Church,167 Scarsdale Rd,Tuckahoe,Step Meeting
Sunday,8:00,8,Asbury Methodist Church,167 Scarsdale Rd,Tuckahoe,Closed
Sunday,8:00,8,Greenpoint Reformed Church,136 Milton St,Greenpoint,Big Book
Sunday,8:00,8,Holland House,351 W 42nd St,Hell's Kitchen,"Closed, Step Meeting, Wheelchair Access"
